CLAVE DE ACUÍFERO QUE MENCIONA EL TÍTULO,ACUÍFERO QUE MENCIONA EL TÍTULO
0,SIN DATO
1,ALLENDE-PIEDRAS NEGRAS
2,RIO SINALOA
3,RIO MOCORITO
4,LAGUNA SECA
5,PENÍNSULA DE YUCATÁN
6,COSTERA DE VERACRUZ
7,MONCLOVA
8,VICTORIA-CASAS
9,AMECA
10,SALTILLO-RAMOS ARIZPE
11,SIN DATO
12,REGION CARBONIFERA
13,SIN DATO
14,AGUANAVAL
15,VALLE DE CELAYA
16,SAN NICOLAS TOLENTINO
17,EL PALMAR
18,SIN DATO
19,CASTANOS
20,SIN DATO
21,SAN LUIS
22,ENCARNACION
23,ATOYAC
24,LA PAZ
25,CALERA
26,SIN DATO
27,ACUIFERO PRINCIPAL
28,SIN DATO
29,LORETO
30,CHIHUAHUA - SACRAMENTO
31,SIN DATO
32,JIMENEZ CAMARGO
33,VALLE DE JUAREZ
34,SIN DATO
35,VALLE DE GUAYMAS
36,S. JOSE DE GUAYMAS
37,SIN DATO
38,RIO SAHUARIPA
39,RIO TECORIPA
40,SON 40 VALLE DEL YAQUI
41,COCORAQUE
42,VALLE DEL MAYO
44,SIN-01 RIO FUERTE (EN SONORA)
45,SIN DATO
47,SIN DATO
48,SIN DATO
49,LAGUNAS
101,VALLE DE AGUASCALIENTES
102,VALLE DE CHICALOTE
103,EL LLANO
104,VENADERO
105,VALLE DE CALVILLO
201,TIJUANA
202,TECATE
203,EL DESCANSO
204,LOS MÉDANOS
205,LAS PALMAS
206,LA MISIÓN
207,GUADALUPE
208,OJOS NEGROS
209,LAGUNA SALADA
210,VALLE DE MEXICALI
211,ENSENADA
212,MANEADERO
213,SANTO TOMAS
214,SAN VICENTE
215,CAÑÓN LA CALENTURA
216,LA TRINIDAD
217,SAN RAFAEL
218,SAN TELMO
219,CAMALU
220,COLONIA VICENTE GUERRERO
221,SAN QUINTÍN
222,SAN FELIPE-PUNTA ESTRELLA
223,VALLE CHICO-SAN PEDRO MÁRTIR
224,EL ROSARIO
225,BAHÍA DE SAN LUIS GONZAGA
226,BAHIA DE LOS ANGELES
227,VILLA DE JESÚS MARÍA
228,LLANOS DEL BERRENDO
229,JAMAU
230,SAN FERNANDO-SAN AGUSTÍN
231,SANTA CATARINA
232,PUNTA CANOAS-SAN JOSÉ
233,LAGUNA DE CHAPALA
234,LA BACHATA-SANTA ROSALITA
235,NUEVO ROSARITO
236,LA RUMOROSA-TECATE
237,EL CHINERO
238,MATOMI-PUERTECITOS
239,EL HUERFANITO
242,LA BOCANA-LLANOS DE SAN PEDRO
243,SAN RAFAEL-LA PALMA
244,EL PROGRESO-EL BARRIL
245,ROSARITO
246,SAN SIMON
247,EL SOCORRO
248,REAL DEL CASTILLO
301,PUNTA EUGENIA
302,VIZCAÍNO
303,SAN IGNACIO
304,LA PURISIMA
305,MEZQUITAL SECO
306,SANTO DOMINGO
307,SANTA RITA
308,LAS POCITAS-SAN HILARIO
309,EL CONEJO-LOS VIEJOS
310,MELITÓN ALBAÑEZ
311,LA MATANZA
312,CAÑADA HONDA
313,TODOS SANTOS
314,EL PESCADERO
315,PLUTARCO ELÍAS CALLES
316,MIGRIÑO
317,CABO SAN LUCAS
318,CABO PULMO
319,SAN JOSÉ DEL CABO
320,SANTIAGO
321,SAN BARTOLO BCS21
322,EL CARRIZAL
323,LOS PLANES
324,LA PAZ
325,EL COYOTE
326,ALFREDO V. BONFIL
327,TEPENTÚ
328,LORETO
329,SAN JUAN B. LONDÓ
330,ROSARITO
331,BAHIA CONCEPCION
332,MULEGÉ
333,SAN MARCOS-PALO VERDE
334,SAN BRUNO
335,SAN LUCAS
336,SANTA AGUEDA
337,SANTA ROSALIA
338,LAS VÍRGENES
405,XPUJIL
501,ALLENDE-PIEDRAS NEGRAS
502,CAÑON DE DERRAMADERO
503,CERRO COLORADO-
504,CUATROCIÉNEGAS-OCAMPO
505,GENERAL CEPEDA-SAUCEDA
506,EL HUNDIDO
507,MONCLOVA
508,PAREDON
509,LA PAILA
510,SALTILLO-RAMOS ARIZPE
511,REGIÓN MANZANERA-ZAPALINAMÉ
512,REGION CARBONIFERA
513,PALESTINA
514,HIDALGO
515,SANTA FE DEL PINO
516,HÉRCULES
517,LAGUNA EL GUAJE
518,LAGUNA EL COYOTE
519,CASTAÑOS
520,LAGUNA DEL REY-SIERRA MOJADA
521,SALTILLO SUR
522,PRESA LA AMISTAD
523,PRINCIPAL
524,ACATITA
525,LAS DELICIAS
526,SERRANÍA DEL BURRO
528,CUATROCIENEGAS
601,COLIMA
603,ARMERÍA-TECOMÁN-PERIQUILLOS
605,VENUSTIANO CARRANZA
607,EL COLOMO
608,JALIPA-TAPEIXTLES
609,SANTIAGO-SALAGUA
610,LA CENTRAL-PEÑA BLANCA
612,VALLE MARABASCO
613,MINATITLAN
614,VALLE DE IXTLAHUACÁN
615,ALZADA-TEPAMES
701,PALENQUE
702,REFORMA
703,TUXTLA
704,OCOZOCOAUTLA
705,CINTALAPA
706,FRAYLESCA
707,COMITÁN
708,LA TRINITARIA
709,ACAPETAHUA
710,SOCONUSCO
711,ARRIAGA-PIJIJIAPAN
712,SAN CRISTOBAL LAS CASAS
713,MARQUÉS DE COMILLAS
714,CHICOMUSELO
715,OCOSINGO
801,ASCENSION
802,ALTA BABÍCORA
803,BAJA BABÍCORA
804,BUENAVENTURA
805,CUAUHTÉMOC
806,VALLE CASAS GRANDES
807,SAUZ-CINILLAS
808,JANOS
809,LAGUNA DE MEXICANOS
810,SAMALAYUCA
811,LAS PALMAS
812,PALOMAS-GUADALUPE VICTORIA
813,LAGUNA TRES CASTILLOS
814,LAGUNA DE TARABILLAS
815,LAGUNA EL DIABLO
816,ALDAMA-EL CUERVO
817,LAGUNA DE PATOS
818,LAGUNA DE SANTA MARÍA
819,LAGUNA LA VIEJA
820,IGNACIO ZARAGOZA
821,FLORES MAGON-VILLA AHUMADA
822,SANTA CLARA
823,CONEJOS-MEDANOS
824,LAGUNA DE HORMIGAS
825,EL SABINAL
826,LOS LAMENTOS
827,EL CUARENTA
828,LOS MOSCOS
829,JOSEFA ORTÍZ DE DOMÍNGUEZ
830,CHIHUAHUA-SACRAMENTO
831,MEOQUI-DELICIAS
832,JIMENEZ-CAMARGO
833,VALLE DE JUÁREZ
834,PARRAL VALLE DEL VERANO
835,TABALAOPA - ALDAMA
836,ALDAMA-SAN DIEGO
837,BAJO RÍO CONCHOS
838,ALTO RÍO SAN PEDRO
839,MANUEL BENAVIDES
840,VILLALBA
841,POTRERO DEL LLANO
842,ÁLAMO CHAPO
843,BOCOYNA
844,VALLE DE ZARAGOZA
845,SAN FELIPE DE JESUS
846,CARICHI - NONOAVA
847,LOS JUNCOS
848,LAGUNA DE PALOMAS
849,LLANO DE GIGANTES
850,LAS PAMPAS
851,RANCHO EL ASTILLERO
852,LAGUNA DE JACO
853,RANCHO LA GLORIA
854,RANCHO DENTÓN
855,LAGUNA LOS ALAZANES
856,LAGUNA EL REY
857,ESCALON
858,LA NORTEÑA
859,MADERA
860,GUERRERO-YEPÓMERA
861,VALLE DEL PESO
901,ZONA METROPOLITANA DE LA CD. DE MÉXICO
999,ZONA DEL LLANO
1001,VALLE DE SANTIAGUILLO
1002,VALLE DE CANATLÁN
1003,VALLE DEL GUADIANA
1004,VICENTE GUERRERO-POANAS
1005,MADERO-VICTORIA
1006,TEPEHUANES-SANTIAGO
1007,PROVIDENCIA
1008,CABRERA-OCAMPO
1009,MATALOTES- EL ORO
1010,SAN JOSE DE NAZARENO
1011,GALEANA-QUEMADO
1012,LA VICTORIA
1013,BUENOS AIRES
